,A,C,D,E,F,H,J,L,M,N,P,Q
3.0,6477,6294,6447,6440,6440,6285,6396,6661,6720,6307,6667,6720
8.0,6710,6510,6678,6671,6671,6510,6626,6901,6961,6533,6883,6961
13.0,6942,6736,6903,6903,6903,6736,6855,7140,7202,6760,7090,7202
