,A,B,D,E,F,G,H,J
4.0,4169722,3963597,4122625,4122625,4089644,4619811,4189392,3856689
8.0,4284054,4442634,4235543,4235543,4202003,4720767,4303884,3963603
12.0,4393858,4563084,4344548,4344548,3876432,4961824,4414428,3567690
