,A,B,C,D,E,F,G,H,I,J,K,L
3.0,10691,13646,10641,10465,13071,10782,10794,10750,10595,10997,13330,10691
8.0,11682,13969,11423,11624,12608,11878,11804,11647,11423,11712,14100,11682
12.0,11949,12642,11680,11680,12886,12149,12076,11921,11680,11853,14158,11949
