,A,B,C,D,E,F,G,H,I,J,K,L
3.0,311,266,323,365,297,289,289,297,334,334,294,311
8.0,311,266,365,323,297,289,289,297,365,334,266,311
12.0,311,266,365,365,297,289,289,297,365,365,294,311
