,A1,A2,A3,A4,B1,B2,B3,B4
4.0,6901000,7150910,5501200,5177775,8017890,7057780,4975050,5153125
9.0,7209852,7416230,5686500,5349475,8292590,7312380,4656575,5401325
14.0,7448508,7857906,5872225,4557340,8731010,7704114,6357420,5578550
