,A,C,D,E,F,H,J,L,M,N,P,Q
3.0,578,752,607,613,613,761,655,526,503,740,740,503
8.0,578,761,607,613,613,761,655,526,503,740,740,503
13.0,578,761,613,613,613,761,655,526,503,740,740,503
