,A,B,C,D,E,F,G,H,H1,H2
2.0,4263211,3892520,4064676,3936842,3465665,3303021,3054509,4418640,2437500,1128720
4.0,4138367,3847993,3993528,3907406,3378515,3368679,3083102,4378860,2468750,1143960
6.0,4046367,3741316,4061904,3389922,3404660,2968377,3145583,4458930,2496000,1159080
