,A,B,C,D,E,F,G,H
9.0,16756509,9568666,7081401,10703496,6537371,9649590,5766570,6848705
20.0,,,6786372,10055240,12177060,10355360,6080832,7454434
30.0,,,27076788,,13057126,10940960,6472512,7939099
