,1,10,11,12,14,15,16,16 & 17,17,2,3,4,5,6,7,8,9,A404
4.0,5995952,4182864,4657560,4555098,5274360,5717791,3751569,7096006,4728667,5998005,6264700,6007086,4878510,4725135,3779126,4828842,4797163,6007086
8.0,6214530,4291070,4782250,4676394,4775260,5865481,3843033,7278860,4073220,5971866,6425740,6162962,3926520,4327020,3805346,4831792,4141929,6162962
13.0,5776958,3429540,4936910,4791472,5860575,6478732,3876405,7512546,4207406,4790425,6513416,4763434,4063020,4340655,4147616,5144880,6311403,6360444
