,1,10,11,1112,12,14,2,3,4,5,6,7,8,9,B409,B414
4.0,7036327,4921840,5558455,,4258536,4267620,5552064,6043750,4116050,4569617,4240366,4581852,4190250,4103640,4092480,4267620
8.0,7383609,5064400,5717595,,4378102,4390092,5710912,4345608,3945596,4701398,4148526,4308650,4310130,4220640,4209840,4390092
13.0,5728562,5265040,6846252,,4527846,4539780,4811700,4519824,5147560,4496364,5267712,4017748,4457020,4365000,4353480,4539780
