,A,B,C,D,E,F,G,H
2.0,5289,5427,5289,5347,5347,7657,5427,5289
4.0,5358,5498,5358,5418,5418,7759,5498,5358
7.0,5523,5592,5463,5523,5523,7913,5534,5463
