,A,B,C,D,E,F,G,H,J,K,L,M,N
8.0,11179350,7776582,12167106,8346042,5713572,11558280,11508567,10576125,18194098,17860332,17805053,7620075,7844256
22.0,12033064,8125806,12931510,9154122,6025846,12452049,11998278,11739585,20837732,19922343,19105674,8134170,8410226
38.0,12438144,8908796,13923056,10136230,7170336,12689058,12752562,12781959,23690004,22556664,23533941,8767017,9175298
