,A1,A2,A3,A5,A6,A7,A8,B1,B2,B3,B5,B6,B7,B8,B9,C1,C2,C3,D1,D2,D3,D5,D6,D7,D8
8.0,5654688,4132863,4381384,5530305,5419005,4025664,4751014,5746456,5906752,5599664,5951208,5913956,5985693,4819640,4808208,7725769,5531715,5418900,7544736,5254934,5563680,4115020,4258884,8179689,5606482
18.0,6240084,4423734,4655392,6043309,5772798,9233136,4941902,5934324,6100416,6020176,6088424,6191068,5875767,8487636,5159842,8323999,6070020,5697270,8252446,5710028,5657212,4486636,4537988,8750427,5939248
26.0,6296388,4595913,4725364,6597586,6026751,9931776,5175376,6269860,6356640,6431712,6409220,6404932,6303208,9681500,5403784,8715781,6341340,6042600,8567592,5905218,5915028,4562880,4754764,8452485,6175456
