,A,B,D,E,F,G,H,J
4.0,7367,7381,7375,7375,7316,8603,7428,7431
8.0,7569,10143,7577,7577,7517,8791,7631,7637
12.0,7763,10418,7772,7772,7784,10424,7827,8090
