,A,B,C,CD,D,E,F,FG,G,GH,H
7.0,19704280,19161275,10114984,55324668,10502190,10425366,9329600,18663804,10557728,27067332,14331934
16.0,20787846,9676125,25689600,58859625,25573640,16332957,9945135,19884780,9672235,28432482,15092424
25.0,21842772,21224025,25446530,62446401,10850952,15533224,10410125,21572406,9941175,32010612,15996852
