,A,B,C,CD,D,E,F,FG,G,GH,H
7.0,1115,1115,548,2253,582,582,544,1098,592,1437,877
16.0,1138,549,1115,2253,1115,873,549,1098,565,1437,873
25.0,1138,1115,1115,2253,588,824,565,1098,565,1437,873
