,A,A & B,AB,B,C,C & D,CD,D,E,E & F,F,G,GH,H
9.0,23634648,32575120,58239576,10374402,9253062,57541176,57054126,21215298,9151950,32847507,8806446,10583837,32878170,15873888
22.0,18170736,34858160,62984808,23143608,9877686,62803650,62984808,17110245,10784205,35148652,9953840,10117476,35180820,10022190
34.0,24911352,37623040,68125104,27846432,29431152,67580772,68125104,24886800,18803268,37931432,10881689,10955136,37966950,19541790
