,A,B,C,D,E,F,G,H,J,K
8.0,18746,16086,15567,17352,16922,17722,17094,15408,16097,17652
20.0,19448,17443,16827,18934,18870,19100,18459,17372,17678,18736
31.0,20154,18250,17784,19376,19504,20697,19210,18141,17058,20347
