,A,B,C,D,E,F,G,H,I
5.0,10422,10553,10136,10100,10174,9859,11284,10097,10758
9.0,10680,10821,10385,10351,10423,9802,11437,10356,11018
13.0,10931,11090,10634,10603,10673,10345,12160,10617,11278
