,A,AB,AD,AM,B,BC,C,CH,D,E,EF,F,G,H,J,K,L,M,N,P
22.0,20943,16953,16939,17467,20142,17992,22020,18164,21278,21975,17830,20691,21034,21009,21811,21950,21550,22278,23207,21323
69.0,,,,,,,,,,,,,,,,,,,,
106.0,,,,,,,,,,,,,,,,,,,,
