,A1,A2,A3,A5,A6,A7,A8,B1,B2,B3,B5,B6,B7,B8,B9,C1,C2,C3,D1,D2,D3,D5,D6,D7,D8
8.0,20488,21867,22354,19965,20145,20967,22201,21442,21716,20587,22206,22067,21609,24590,22056,19759,21693,20070,19296,20057,20760,20995,21729,21469,21077
18.0,22609,23406,23752,21817,22118,22968,23093,22143,22428,22133,22718,23101,21843,21009,23669,21289,23804,21101,21106,21794,21109,22891,23153,22967,22328
26.0,22813,24317,24109,23818,23091,23424,24184,23395,23370,23646,23915,23899,23432,22780,24788,22291,24868,22380,21912,22539,22071,23280,24259,22185,23216
