,1,10,11,12,13,14,2,3,4,5,6,7,8,9,PORTION 5,PORTION 6,PORTION 7
2.0,2080400,3011975,2685460,2097480,2685460,2685460,2730970,3011975,2036464,2002075,2730375,2716500,2716500,2716500,2002075,2704250,2046528
5.0,2119320,3073600,2736150,2137520,2736150,2736150,2782400,3073600,2074816,2040235,2782500,2767875,2767875,2767875,2040235,2755351,2085424
8.0,2122960,3133525,2785730,2175880,2785730,2785730,2832720,3133525,2075088,2077335,2833500,2123232,2818125,2818125,2077070,2804960,2123232
