,lumpSum_avg,npsf_avg,unit_count,lumpSum_total,npsf_total,nfa_total,final_address,lumpSum_2,npsf_2,nfa_2,lumpSum_4,npsf_4,nfa_4,lumpSum_change,npsf_change
2019-12-15,64233891.0,14131.5,2,128467782,28263,9085,"CAMBRIDGE GDN,LANCASHIRE RD|劍穚花園,蘭開夏道",71996248.0,15761.0,4568.0,56471534.0,12502.0,4517.0,-0.14109883162018577,-0.14109888774083756
2019-11-15,74786126.0,16453.0,2,149572252,32906,9085,"CAMBRIDGE GDN,LANCASHIRE RD|劍穚花園,蘭開夏道",83822800.0,18350.0,4568.0,65749452.0,14556.0,4517.0,-0.2726831181352418,-0.2726830669937891
2019-10-15,102824680.5,22621.5,2,205649361,45243,9085,"CAMBRIDGE GDN,LANCASHIRE RD|劍穚花園,蘭開夏道",115250640.0,25230.0,4568.0,90398721.0,20013.0,4517.0,0.3984608110995904,0.3984606824925816
2019-9-15,73527037.5,16176.0,2,147054075,32352,9085,"CAMBRIDGE GDN,LANCASHIRE RD|劍穚花園,蘭開夏道",82411288.0,18041.0,4568.0,64642787.0,14311.0,4517.0,-0.11497748807058217,-0.11497743126795235
2019-8-15,83079285.0,18277.5,2,166158570,36555,9085,"CAMBRIDGE GDN,LANCASHIRE RD|劍穚花園,蘭開夏道",93118680.0,20385.0,4568.0,73039890.0,16170.0,4517.0,-0.10575377161656774,-0.10575370615000734
2019-7-15,92904261.0,20439.0,2,185808522,40878,9085,"CAMBRIDGE GDN,LANCASHIRE RD|劍穚花園,蘭開夏道",104132128.0,22796.0,4568.0,81676394.0,18082.0,4517.0,0.10103166735308111,0.10103159425754837
2019-6-15,84379281.5,18563.5,2,168758563,37127,9085,"CAMBRIDGE GDN,LANCASHIRE RD|劍穚花園,蘭開夏道",94575872.0,20704.0,4568.0,74182691.0,16423.0,4517.0,-0.05218150321620485,-0.05218146077455266
2019-5-15,89024725.5,19585.5,2,178049451,39171,9085,"CAMBRIDGE GDN,LANCASHIRE RD|劍穚花園,蘭開夏道",99783392.0,21844.0,4568.0,78266059.0,17327.0,4517.0,0.06544276625770595,0.06544267645858826
2019-4-15,83556553.5,18382.5,2,167113107,36765,9085,"CAMBRIDGE GDN,LANCASHIRE RD|劍穚花園,蘭開夏道",93653136.0,20502.0,4568.0,73459971.0,16263.0,4517.0,-0.13701234622615122,-0.13701234683817665
2019-3-15,96822420.5,21301.0,2,193644841,42602,9085,"CAMBRIDGE GDN,LANCASHIRE RD|劍穚花園,蘭開夏道",108521976.0,23757.0,4568.0,85122865.0,18845.0,4517.0,0.2215627395030917,0.22156272401433696
2019-2-15,79261111.5,17437.5,2,158522223,34875,9085,"CAMBRIDGE GDN,LANCASHIRE RD|劍穚花園,蘭開夏道",88838464.0,19448.0,4568.0,69683759.0,15427.0,4517.0,-0.14155958338540786,-0.14155959237926452
2019-1-15,92331523.5,20313.0,2,184663047,40626,9085,"CAMBRIDGE GDN,LANCASHIRE RD|劍穚花園,蘭開夏道",103488040.0,22655.0,4568.0,81175007.0,17971.0,4517.0,0.1578976004012207,0.15789773698911236
2018-12-15,79740664.0,17543.0,2,159481328,35086,9085,"CAMBRIDGE GDN,LANCASHIRE RD|劍穚花園,蘭開夏道",89377488.0,19566.0,4568.0,70103840.0,15520.0,4517.0,0.07319628988338156,0.07319609702382768
2018-11-15,74302031.0,16346.5,2,148604062,32693,9085,"CAMBRIDGE GDN,LANCASHIRE RD|劍穚花園,蘭開夏道",83279208.0,18231.0,4568.0,65324854.0,14462.0,4517.0,-0.2043950947554799,-0.20439501606152044
2018-10-15,93390614.5,20546.0,2,186781229,41092,9085,"CAMBRIDGE GDN,LANCASHIRE RD|劍穚花園,蘭開夏道",104675720.0,22915.0,4568.0,82105509.0,18177.0,4517.0,,
2018-9-15,,,2,,,9085,"CAMBRIDGE GDN,LANCASHIRE RD|劍穚花園,蘭開夏道",,,4568.0,,,4517.0,,
2018-8-15,,,2,,,9085,"CAMBRIDGE GDN,LANCASHIRE RD|劍穚花園,蘭開夏道",,,4568.0,,,4517.0,,
2018-7-15,,,2,,,9085,"CAMBRIDGE GDN,LANCASHIRE RD|劍穚花園,蘭開夏道",,,4568.0,,,4517.0,,
2018-6-15,,,2,,,9085,"CAMBRIDGE GDN,LANCASHIRE RD|劍穚花園,蘭開夏道",,,4568.0,,,4517.0,,
2018-5-15,,,2,,,9085,"CAMBRIDGE GDN,LANCASHIRE RD|劍穚花園,蘭開夏道",,,4568.0,,,4517.0,,
2018-4-15,,,2,,,9085,"CAMBRIDGE GDN,LANCASHIRE RD|劍穚花園,蘭開夏道",,,4568.0,,,4517.0,,
2018-3-15,,,2,,,9085,"CAMBRIDGE GDN,LANCASHIRE RD|劍穚花園,蘭開夏道",,,4568.0,,,4517.0,,
2018-2-15,,,2,,,9085,"CAMBRIDGE GDN,LANCASHIRE RD|劍穚花園,蘭開夏道",,,4568.0,,,4517.0,,
2018-1-15,,,2,,,9085,"CAMBRIDGE GDN,LANCASHIRE RD|劍穚花園,蘭開夏道",,,4568.0,,,4517.0,,
2017-12-15,,,2,,,9085,"CAMBRIDGE GDN,LANCASHIRE RD|劍穚花園,蘭開夏道",,,4568.0,,,4517.0,,
2017-11-15,,,2,,,9085,"CAMBRIDGE GDN,LANCASHIRE RD|劍穚花園,蘭開夏道",,,4568.0,,,4517.0,,
2017-10-15,,,2,,,9085,"CAMBRIDGE GDN,LANCASHIRE RD|劍穚花園,蘭開夏道",,,4568.0,,,4517.0,,
2017-9-15,,,2,,,9085,"CAMBRIDGE GDN,LANCASHIRE RD|劍穚花園,蘭開夏道",,,4568.0,,,4517.0,,
