,lumpSum_avg,npsf_avg,final_address,lumpSum_A,npsf_A,nfa_A,lumpSum_B,npsf_B,nfa_B,lumpSum_C,npsf_C,nfa_C,lumpSum_D,npsf_D,nfa_D,lumpSum_E,npsf_E,nfa_E,nfa_avg,lumpSum_change,npsf_change
2020-12-15,9127122.25,30519.5,"AYTON(Block 2),INVERNESS RD|雋睿2座,延文禮士道",,,616.0,9160190.0,22730.0,403.0,8837750.0,33350.0,265.0,9278806.0,33377.0,278.0,9231743.0,32621.0,283.0,,0.1574100307885078,0.15741170893576673
2020-11-15,7885815.75,26368.75,"AYTON(Block 2),INVERNESS RD|雋睿2座,延文禮士道",,,616.0,7914517.0,19639.0,403.0,7635710.0,28814.0,265.0,8016964.0,28838.0,278.0,7976072.0,28184.0,283.0,,-0.07487588811086265,-0.07487808300880605
2020-10-15,8524062.5,28503.0,"AYTON(Block 2),INVERNESS RD|雋睿2座,延文禮士道",,,616.0,8554884.0,21228.0,403.0,8253955.0,31147.0,265.0,8665816.0,31172.0,278.0,8621595.0,30465.0,283.0,,-0.05793697612530402,-0.05793892120571131
2020-9-15,9048293.25,30256.0,"AYTON(Block 2),INVERNESS RD|雋睿2座,延文禮士道",,,616.0,9080799.0,22533.0,403.0,8761695.0,33063.0,265.0,9198742.0,33089.0,278.0,9151937.0,32339.0,283.0,,0.09940786023197745,0.09935868321130759
2020-8-15,8230151.5,27521.5,"AYTON(Block 2),INVERNESS RD|雋睿2座,延文禮士道",,,616.0,8255455.0,20485.0,403.0,7970935.0,30079.0,265.0,8368356.0,30102.0,278.0,8325860.0,29420.0,283.0,,0.013648251502809128,0.01275068997240103
2020-7-15,8119336.75,27175.0,"AYTON(Block 2),INVERNESS RD|雋睿2座,延文禮士道",,,616.0,8087404.0,20068.0,403.0,8029765.0,30301.0,265.0,8200722.0,29499.0,278.0,8159456.0,28832.0,283.0,,0.08129210845646484,0.08108645707977358
2020-6-15,7508920.75,25136.75,"AYTON(Block 2),INVERNESS RD|雋睿2座,延文禮士道",,,616.0,7464366.0,18522.0,403.0,7446765.0,28101.0,265.0,7558264.0,27188.0,278.0,7566288.0,26736.0,283.0,,-0.1362484403003078,-0.13619415807560142
2020-5-15,8693380.25,29100.0,"AYTON(Block 2),INVERNESS RD|雋睿2座,延文禮士道",,,616.0,8645962.0,21454.0,403.0,8607995.0,32483.0,265.0,8755054.0,31493.0,278.0,8764510.0,30970.0,283.0,,0.2168874771266167,0.2168858594517742
2020-4-15,7143947.5,23913.5,"AYTON(Block 2),INVERNESS RD|雋睿2座,延文禮士道",,,616.0,7104890.0,17630.0,403.0,7073910.0,26694.0,265.0,7194640.0,25880.0,278.0,7202350.0,25450.0,283.0,,-0.14409875476475964,-0.14432676136973555
2020-3-15,8346696.0,27947.0,"AYTON(Block 2),INVERNESS RD|雋睿2座,延文禮士道",,,616.0,8275202.0,20534.0,403.0,8273300.0,31220.0,265.0,8414504.0,30268.0,278.0,8423778.0,29766.0,283.0,,0.2349248642838866,0.23492631625461224
2020-2-15,6758869.5,22630.5,"AYTON(Block 2),INVERNESS RD|雋睿2座,延文禮士道",,,616.0,6701084.0,16628.0,403.0,6699465.0,25281.0,265.0,6813780.0,24510.0,278.0,6821149.0,24103.0,283.0,,-0.10914029620833288,-0.10914065267881745
2020-1-15,7586906.75,25403.0,"AYTON(Block 2),INVERNESS RD|雋睿2座,延文禮士道",,,616.0,7521995.0,18665.0,403.0,7520170.0,28378.0,265.0,7648614.0,27513.0,278.0,7656848.0,27056.0,283.0,,0.1941972429004144,0.19419894697254603
2019-12-15,6353143.75,21272.0,"AYTON(Block 2),INVERNESS RD|雋睿2座,延文禮士道",,,616.0,6298890.000000001,15630.0,403.0,6297194.999999999,23763.0,265.0,6404842.0,23039.0,278.0,6411648.000000001,22656.0,283.0,,-0.15410099117268505,-0.1541023372336936
2019-11-15,7510522.75,25147.25,"AYTON(Block 2),INVERNESS RD|雋睿2座,延文禮士道",,,616.0,7446231.0,18477.0,403.0,7444380.0,28092.0,265.0,7571608.0,27236.0,278.0,7579872.0,26784.0,283.0,,-0.25278270568050065,-0.2527819459507644
2019-10-15,10051323.5,33654.5,"AYTON(Block 2),INVERNESS RD|雋睿2座,延文禮士道",,,616.0,9965384.0,24728.0,403.0,9962675.0,37595.0,265.0,10133100.0,36450.0,278.0,10144135.0,35845.0,283.0,,0.2800910413321993,0.2800890046879605
