,lumpSum_avg,npsf_avg,unit_count,lumpSum_total,npsf_total,nfa_total,final_address,lumpSum_A,npsf_A,nfa_A,lumpSum_B,npsf_B,nfa_B,lumpSum_change,npsf_change
2016-1-15,4833114.0,11266.0,2,9666228.0,22532,858.0,"LOK MING BLDG,KING ST|樂明樓,京街",4833114.0,11266.0,429.0,4833114.0,11266.0,429.0,0.029704780184626633,0.029704780184626633
2016-2-15,4693689.0,10941.0,2,9387378.0,21882,858.0,"LOK MING BLDG,KING ST|樂明樓,京街",4693689.0,10941.0,429.0,4693689.0,10941.0,429.0,-0.004096122337520436,-0.004096122337520436
2016-3-15,4712994.0,10986.0,2,9425988.0,21972,858.0,"LOK MING BLDG,KING ST|樂明樓,京街",4712994.0,10986.0,429.0,4712994.0,10986.0,429.0,0.009464302122576429,0.009464302122576429
2016-4-15,4668807.0,10883.0,2,9337614.0,21766,858.0,"LOK MING BLDG,KING ST|樂明樓,京街",4668807.0,10883.0,429.0,4668807.0,10883.0,429.0,-0.012252677436921378,-0.012252677436921378
2016-5-15,4726722.0,11018.0,2,9453444.0,22036,858.0,"LOK MING BLDG,KING ST|樂明樓,京街",4726722.0,11018.0,429.0,4726722.0,11018.0,429.0,0.004100975120751027,0.004100975120751027
2016-6-15,4707417.0,10973.0,2,9414834.0,21946,858.0,"LOK MING BLDG,KING ST|樂明樓,京街",4707417.0,10973.0,429.0,4707417.0,10973.0,429.0,-0.01525621466391458,-0.01525621466391458
2016-7-15,4780347.0,11143.0,2,9560694.0,22286,858.0,"LOK MING BLDG,KING ST|樂明樓,京街",4780347.0,11143.0,429.0,4780347.0,11143.0,429.0,-0.016331214689265572,-0.016331214689265572
2016-8-15,4859712.0,11328.0,2,9719424.0,22656,858.0,"LOK MING BLDG,KING ST|樂明樓,京街",4859712.0,11328.0,429.0,4859712.0,11328.0,429.0,-0.04782718332352698,-0.04782718332352698
2016-9-15,5103813.0,11897.0,2,10207626.0,23794,858.0,"LOK MING BLDG,KING ST|樂明樓,京街",5103813.0,11897.0,429.0,5103813.0,11897.0,429.0,-0.019370260468183353,-0.019370260468183353
2016-10-15,5204628.0,12132.0,2,10409256.0,24264,858.0,"LOK MING BLDG,KING ST|樂明樓,京街",5204628.0,12132.0,429.0,5204628.0,12132.0,429.0,0.005219985085756829,0.005219985085756829
2016-11-15,5177601.0,12069.0,2,10355202.0,24138,858.0,"LOK MING BLDG,KING ST|樂明樓,京街",5177601.0,12069.0,429.0,5177601.0,12069.0,429.0,-0.023069451189898005,-0.023069451189898005
2016-12-15,5299866.0,12354.0,2,10599732.0,24708,858.0,"LOK MING BLDG,KING ST|樂明樓,京街",5299866.0,12354.0,429.0,5299866.0,12354.0,429.0,0.006517842594101264,0.006517842594101264
2017-1-15,5265546.0,12274.0,2,10531092.0,24548,858.0,"LOK MING BLDG,KING ST|樂明樓,京街",5265546.0,12274.0,429.0,5265546.0,12274.0,429.0,0.016480331262940018,0.016480331262940018
2017-2-15,5180175.0,12075.0,2,10360350.0,24150,858.0,"LOK MING BLDG,KING ST|樂明樓,京街",5180175.0,12075.0,429.0,5180175.0,12075.0,429.0,-0.0285599356395817,-0.0285599356395817
2017-3-15,5332470.0,12430.0,2,10664940.0,24860,858.0,"LOK MING BLDG,KING ST|樂明樓,京街",5332470.0,12430.0,429.0,5332470.0,12430.0,429.0,-0.019716088328075698,-0.019716088328075698
2017-4-15,5439720.0,12680.0,2,10879440.0,25360,858.0,"LOK MING BLDG,KING ST|樂明樓,京街",5439720.0,12680.0,429.0,5439720.0,12680.0,429.0,-0.011845386533665847,-0.011845386533665847
2017-5-15,5504928.0,12832.0,2,11009856.0,25664,858.0,"LOK MING BLDG,KING ST|樂明樓,京街",5504928.0,12832.0,429.0,5504928.0,12832.0,429.0,-0.041672890216579495,-0.041672890216579495
2017-6-15,5744310.0,13390.0,2,11488620.0,26780,858.0,"LOK MING BLDG,KING ST|樂明樓,京街",5744310.0,13390.0,429.0,5744310.0,13390.0,429.0,0.016087418424647115,0.016087418424647115
