,subjFloor,floorLv,unitNo,price,npsf,nfa,com_score,com_no,district,final_address
1.0/F低層F.P.,1.0,低層,F.P.,2402490.7834964735,6560.0,365.0,150,1,ISL,  NAM WAN|  南灣
1.0/F中層F.P.,1.0,中層,F.P.,2402490.7834964735,6560.0,365.0,150,1,ISL,  NAM WAN|  南灣
1.0/F高層F.P.,1.0,高層,F.P.,2402490.7834964735,6560.0,365.0,150,1,ISL,  NAM WAN|  南灣
