,A,B,C,D,F,G,H,I,J,K,L
3.0,248,240,245,245,245,240,248,245,240,240,245
6.0,248,240,245,245,245,240,248,245,240,240,245
8.0,248,240,245,245,245,240,248,245,240,240,245
