,A,B,C,D,F,G,H,I,J,K,L
3.0,16498,17118,16679,15357,16870,16890,14854,16870,17840,18326,14118
6.0,15759,15845,15688,15693,15635,15845,15513,15635,15331,16156,15635
8.0,16176,16096,15959,15980,15883,16096,15759,15883,15576,18146,15883
