,A,AB,B,C,D,E,F
2.0,19502094,,21475800,10750905,10813165,13449940,11487552
6.0,20183883,,20943156,13266280,13504400,18789472,20562660
9.0,19625982,,21262654,12104260,12878528,14541520,13384512
