,A1,A3,A4,B2,B3,B5,C2,C3,C5,D3,D4
1.0,9302568,8149694,7789065,8481132,7801480,7288970,8481132,7813350,8204010,6746509,7595565
2.0,9372040,7639982,7847380,8544690,7859368,7342816,8544690,7871346,8265000,6797021,7652655
