,B,C,D,E,G,H,K,L
3.0,4411680,3783780,3783780,3909600,4321086,3955140,3840172,4242700
5.0,4546360,3793920,3793920,3899070,4453344,4075155,3851160,4362820
7.0,4675216,4378140,4378140,4452300,4590396,4192020,4438080,4501728
