,lumpSum_avg,npsf_avg,unit_count,lumpSum_total,npsf_total,nfa_total,final_address,lumpSum_A,npsf_A,nfa_A,lumpSum_B,npsf_B,nfa_B,lumpSum_C,npsf_C,nfa_C,lumpSum_D,npsf_D,nfa_D,lumpSum_E,npsf_E,nfa_E,lumpSum_F,npsf_F,nfa_F,lumpSum_change,npsf_change
2019-12-15,11642117.833333334,22796.333333333332,6,69852707.0,136778.0,3042,"K.SUMMIT(Block 2B),MUK TAI ST|嘉峯匯2B座,沐泰街",10531755.000000002,22945.0,459.0,19247282.0,25127.0,766.0,9605720.0,20882.0,460.0,11139922.0,21673.0,514.0,11462144.0,22387.0,512.0,7865884.0,23764.0,331.0,-0.016983959094607703,-0.01698277287068528
2019-11-15,11843263.333333334,23190.166666666668,6,71059580.0,139141.0,3042,"K.SUMMIT(Block 2B),MUK TAI ST|嘉峯匯2B座,沐泰街",10713978.0,23342.0,459.0,19578960.0,25560.0,766.0,9772240.0,21244.0,460.0,11332157.999999998,22047.0,514.0,11661311.999999998,22776.0,512.0,8000932.0,24172.0,331.0,0.026794064829351427,0.02679507047450369
2019-10-15,11534214.833333334,22585.0,6,69205289.0,135510.0,3042,"K.SUMMIT(Block 2B),MUK TAI ST|嘉峯匯2B座,沐泰街",10434906.0,22734.0,459.0,19067271.999999996,24892.0,766.0,9517399.999999998,20690.0,460.0,11036094.0,21471.0,514.0,11358208.0,22184.0,512.0,7791409.0,23539.0,331.0,-0.02862259202609785,-0.028623040364723296
2019-9-15,11874081.833333334,23250.5,6,71244491.0,139503.0,3042,"K.SUMMIT(Block 2B),MUK TAI ST|嘉峯匯2B座,沐泰街",10742895.0,23405.0,459.0,19627984.0,25624.0,766.0,9798460.0,21301.0,460.0,11360942.0,22103.0,514.0,11694080.000000002,22840.0,512.0,8020130.0,24230.0,331.0,-0.030802933913592345,-0.030798410404624277
2019-8-15,12251462.833333334,23989.333333333332,6,73508777.0,143936.0,3042,"K.SUMMIT(Block 2B),MUK TAI ST|嘉峯匯2B座,沐泰街",11084850.0,24150.0,459.0,20251508.0,26438.0,766.0,10110340.0,21979.0,460.0,11721256.0,22804.0,514.0,12066816.0,23568.0,512.0,8274007.0,24997.0,331.0,0.002263563543783098,0.0022630578437583537
2019-7-15,12223793.5,23935.166666666668,6,73342761.0,143611.0,3042,"K.SUMMIT(Block 2B),MUK TAI ST|嘉峯匯2B座,沐泰街",11060523.0,24097.0,459.0,20204782.0,26377.0,766.0,10088260.0,21931.0,460.0,11694014.0,22751.0,514.0,12040704.000000002,23517.0,512.0,8254478.0,24938.0,331.0,0.0028354261481968734,0.002835096539925308
2019-6-15,12189231.833333334,23867.5,6,73135391.0,143205.0,3042,"K.SUMMIT(Block 2B),MUK TAI ST|嘉峯匯2B座,沐泰街",11029770.0,24030.0,459.0,20146566.0,26301.0,766.0,10060200.0,21870.0,460.0,11660604.0,22686.0,514.0,12007936.0,23453.0,512.0,8230315.0,24865.0,331.0,-0.009155793191306105,-0.00915393556957822
2019-5-15,12301865.166666666,24088.0,6,73811191.0,144528.0,3042,"K.SUMMIT(Block 2B),MUK TAI ST|嘉峯匯2B座,沐泰街",11132127.0,24253.0,459.0,20331938.0,26543.0,766.0,10153580.0,22073.0,460.0,11768030.0,22895.0,514.0,12120064.0,23672.0,512.0,8305452.0,25092.0,331.0,0.018409809304080982,0.018412429975689593
2019-4-15,12079484.166666666,23652.5,6,72476905.0,141915.0,3042,"K.SUMMIT(Block 2B),MUK TAI ST|嘉峯匯2B座,沐泰街",10931544.0,23816.0,459.0,19963492.0,26062.0,766.0,9970500.0,21675.0,460.0,11554720.0,22480.0,514.0,11902464.0,23247.0,512.0,8154185.0,24635.0,331.0,0.024966872060527834,0.024967860289762944
2019-3-15,11785243.5,23076.333333333332,6,70711461.0,138458.0,3042,"K.SUMMIT(Block 2B),MUK TAI ST|嘉峯匯2B座,沐泰街",10665783.0,23237.0,459.0,19476316.0,25426.0,766.0,9728540.0,21149.0,460.0,11272534.0,21931.0,514.0,11613696.0,22683.0,512.0,7954592.0,24032.0,331.0,0.023547993059413797,0.023552545981430084
2019-2-15,11514109.333333334,22545.333333333332,6,69084656.0,135272.0,3042,"K.SUMMIT(Block 2B),MUK TAI ST|嘉峯匯2B座,沐泰街",10420677.0,22703.0,459.0,19028205.999999996,24841.0,766.0,9504980.0,20663.0,460.0,11012450.0,21425.0,514.0,11347456.0,22163.0,512.0,7770887.0,23477.0,331.0,0.016548539121171935,0.01654768167130083
