,A,B,C,D,E,G,H,I,J,K,L
3.0,7822,7849,7830,7830,7551,7964,7862,7919,7667,7784,7773
5.0,7887,7915,7896,7896,7608,8030,7928,7985,5544,7849,7838
7.0,7952,7980,7961,7961,7642,8097,7993,8051,7809,7914,7903
