,A,B,C,D,E,F,G,H,I,J,K,L
3.0,6624,7701,6246,6641,6257,7522,7705,6411,7180,6421,6513,7460
4.0,6600,7601,6273,6670,6283,7548,7734,6438,7373,6448,6541,7487
6.0,6649,7660,6326,6727,6314,7602,7792,6492,7435,6509,7295,7542
