,A,B,C,D,E,F,F & G,G,H
5.0,4192860,4071060,4072680,4194060,4314570,4049595,7878870,4071060,4579525
12.0,4376820,4416930,4192965,4305990,4396470,4286115,8112150,4202280,4498185
18.0,4434360,4503600,4292190,4095390,3906240,4383720,8313840,4401540,4425145
