,A,B,C,D,E,F,G,H,J,K,L,M
10.0,659,483,479,479,484,660,737,495,495,495,495,490
27.0,659,483,479,479,484,660,737,495,495,495,495,490
42.0,659,483,479,479,484,660,737,495,495,495,495,490
