,A,B,C,D,E,F,G,H,J,K,L,M
6.0,4669200,3965500,4307870,4231610,3762605,4666500,4560750,3828440,4046290,3669910,3963960,4591350
12.0,4835250,3996685,4350100,4339850,3851155,4796100,4842900,3920840,4095080,4366090,4013625,4751100
19.0,5292116,3085290,4491140,4307050,2933516,6722584,4984200,3713400,3484780,4415700,3835440,4799250
