,A,B,C,D,E,F,G,H
9.0,13110,12612,12612,13475,12887,12698,13252,12404
16.0,13154,12984,12984,13766,13192,13072,13672,12733
24.0,13834,13606,13104,14144,13457,13670,13924,13264
