,A,B,C,D,E,F,G,H,I,J,K,L
3.0,305,300,240,295,295,315,305,305,295,315,305,330
4.0,305,300,240,295,295,315,305,305,295,315,305,330
6.0,305,300,240,295,295,315,305,305,295,315,305,330
