,A,B,C,D,E,F,G,H
11.0,15917,15653,15786,14917,15415,16095,15813,16225
22.0,16810,16542,17132,15711,16422,17240,16852,15961
32.0,17441,17293,17959,16396,16709,18074,17535,17421
