,A,A & G,B,C,D,E,F,G,H,I,J
5.0,3788280,6971760,3761280,3499040,3946300,3761280,3761280,3787560,3761280,3900000,3924115
8.0,3888000,7062480,3809880,3258120,3997220,3809880,3809880,3311280,3753720,3916500,3973755
12.0,3951720,7183440,3681360,3658640,4062580,3939840,3871800,3899160,3871800,4015125,4034710
