,A,B,C,D,E,F,G,H,J,K,L
6.0,4571980,4446400,3726438,3874500,3970010,5555645,3937560,4079250,3682800,4449630,3875350
12.0,4684792,4518400,4002592,4129235,4038718,5682770,4001400,4135860,3783240,4524745,3989194
19.0,4824736,4438616,4070528,4068192,4100864,5616665,3025225,4539645,4044666,5220149,4082632
