,A,B,C,C2,D,D-E,E,F,F & K,G,H,J,K
5.0,290,250,250,257,300,555,255,255,530,275,265,265,275
12.0,290,250,250,257,300,555,255,255,530,275,265,265,275
19.0,300,255,255,257,310,555,365,365,530,275,265,270,275
