,A,A & G,B,C,D,E,F,G,H,I,J
5.0,10523,9683,10448,9208,10385,10448,10448,10521,10448,10400,10751
8.0,10800,9809,10583,8574,10519,10583,10583,9198,10427,10444,10887
12.0,10977,9977,10226,9628,10691,10944,10755,10831,10755,10707,11054
