,A,B,C,D,E,F,G,H,I,J,K
4.0,7841,8218,8213,8372,8233,8244,8234,8292,8237,8180,8463
8.0,8024,8357,8308,8481,8372,8347,8373,8437,8376,8318,8609
13.0,8251,8532,8527,8662,8988,8912,8667,8621,8609,8492,8209
