,1,2,3,4,5,6,7,8
7.0,10994,10285,10789,10444,10744,11820,11113,12235
14.0,11310,10395,11301,10753,11009,12241,11458,12504
22.0,11482,10863,11468,10285,11319,13093,11915,12912
