,A,B,C,C-D,D,E,F,G,H
15.0,6908460,6286754,6183547,13228896,6909188,6862658,7045727,7364994,7134167
25.0,7500424,6599644,6507178,13802568,7262299,7213701,7406568,7705581,7500424
34.0,7808253,6863966,6772901,14319168,7547166,7508391,7709845,7990736,7808253
