,A,A-H,B,C,D,E,F,G,H,whole floor
6.0,12248,,10845,12010,10452,10957,10941,10357,10518,
12.0,12567,,11140,12318,10731,11036,11384,10537,10944,
18.0,12863,,11451,12616,11520,11314,11503,10803,11220,
