,1,10,2,3,4,5,6,7,8,9
7.0,5024780,3814713,5328926,4244585,5832090,3834763,4885726,5024780,3968697,5849505
18.0,5576010,4334810,5628086,4471551,6448710,4415812,5180454,5576010,4152355,6422910
29.0,6182640,4574608,6202584,4709344,7120800,4651199,5408702,6182640,4446288,7049850
