,A,A & G,B,C,D,E,F,G,H,I,J
5.0,360,720,360,380,380,360,360,360,360,375,365
8.0,360,720,360,380,380,360,360,360,360,375,365
12.0,360,720,360,380,380,360,360,360,360,375,365
