,1,10,11,12,2,3,4,5,6,7,8,9
5.0,9151,9370,8913,9814,9667,9772,9250,9012,9309,9378,9468,9630
13.0,9318,10264,9049,10129,10029,10171,9680,9077,9551,9676,9822,10044
21.0,9770,10337,9343,10191,8530,10497,10108,9821,9976,9870,10016,10142
