,A,B,C,D,E,F,G,H,J,K,L
10.0,7213660,5829232,5924311,6237792,7932867,6515190,6161400,6500766,6438245,8706884,6330555
27.0,7660778,6057491,5824274,5522924,7997567,6479055,6439641,6560424,6395320,8727374,6570135
42.0,8089144,6383364,6488114,5793480,8473112,6833475,6149664,6962382,7063940,8986231,7127010
