,A,B,C,D,E,F,G,H,J,K,L
10.0,12310,11824,12851,12888,12261,13162,12600,13294,12749,12748,12789
27.0,13073,12287,12634,11411,12361,13089,13169,13416,12664,12778,13273
42.0,13804,12948,14074,11970,13096,13805,12576,14238,13988,13157,14398
