,A,A-H,B,C,D,E,F,G,H,whole floor
6.0,4409280,,4012650,5464550,5016960,5040220,4923450,4764220,4785690,
12.0,4524120,,4121800,5604690,5150880,5076560,5122800,5057760,4979520,
18.0,4759310,,4122360,5740280,5529600,5204440,5176350,5185440,5105100,
