,A,B,C,D,E,F,G,H,J,K,L,M
6.0,10376,10300,10507,10321,9773,10370,10135,9944,9869,8951,10296,10203
12.0,10745,10381,10610,10585,10003,10658,10762,10184,9988,10649,10425,10558
19.0,10004,10530,10954,10505,10012,10637,11076,10315,10310,10770,10654,10665
