,A,B,C,D,E,F,G,H,I,J,K,L
3.0,2020320,2310300,1499040,1959095,1845815,2369430,2350025,1955355,2118100,2022615,1986465,2461800
4.0,2013000,2280300,1505520,1967650,1853485,2377620,2358870,1963590,2175035,2031120,1995005,2470710
6.0,2027945,2298000,1518240,1984465,1862630,2394630,2376560,1980060,2193325,2050335,2224975,2488860
