,A2,B,B1,C,E,G,H,I,J,L
5.0,1037004,2580416,1794560,2580416,2602950,2517098,2609120,2722776,2542688,2972911
6.0,1041330,2589248,1822720,2589248,2612200,2525690,2617216,2716392,2551014,2982525
7.0,1045862,2600288,1830400,2600288,2622930,2536430,2628256,2743125,2561874,2995198
