,1,2,3,4,5,6,7,8
5.0,4322045,3742125,3572250,4322045,3327060,2776410,3186855,3397350
11.0,4422145,3259620,3669375,4422145,3403290,2861775,3259620,3476880
17.0,4531800,3338370,3772875,4531800,3485790,2935170,3338370,3559380
