,A,B,C,D,E,F,G,H,I,J,K
4.0,5143696,4996544,4927800,4386928,4717509,4699080,4693380,4892280,4637431,5758720,4942392
8.0,5263744,5081056,4984800,4444044,4797156,4757790,4772610,4977830,4715688,5855872,5208445
13.0,4835086,5187456,5116200,4538888,3667104,3832160,4524174,5163979,4846867,5978368,4876146
