,A,B,C,D,E,G,H,I,J,K,L
3.0,2917606,2825640,2889270,2889270,2786319,2436984,2783148,2589513,5075554,3043544,3078108
5.0,2941851,2849400,2913624,2913624,2807352,2457180,2806512,2611095,3670128,3068959,3103848
7.0,2966096,2872800,2937609,2937609,2751120,2477682,2829522,2632677,4997760,3094374,3129588
