,A,B,C,D,E,F,G,H,J,K,L
6.0,476,400,334,375,386,565,380,370,360,415,358
12.0,476,400,352,389,386,565,380,370,360,415,358
19.0,476,392,352,372,386,565,293,405,366,517,358
