,1,2,3,4,5,6,7,8,B1
6.0,3463940,3466160,3836140,3624005,3288250,3203550,3798410,3759140,3466160
12.0,3687790,3706660,3849230,3851540,3526250,3511200,3945095,3851925,3706660
18.0,3787320,3806190,4019785,3954335,3621100,3608500,4042885,3948175,3806190
